,Lowq,Mq,Highq,LowqH,MqH,HighqH
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.7667399182277534e-20,1.3697169181061857e-19,4.1591384980824854e-19,8.313350835291211e-38,5.081709146464329e-35,1.4916848898277834e-33
2,11797.003981261578,12836.464840954668,13358.813880133883,10443.779294612097,11371.644300603866,11829.350711885127
3,13243.174473764073,14331.051326699937,14931.763604557591,10211.076929540803,11048.243433519947,11518.649763268104
4,12934.23254270325,14018.859409208628,14537.71759139231,10403.88701848497,11269.046051509984,11697.670117792022
5,20537.791257677003,22194.040819343318,23182.16913058411,15811.2035213929,17104.22042401228,17802.544694788936
6,29877.045957841583,32157.154392582637,33902.05634632284,22786.311797404785,24577.954151967355,25775.50437539848
7,38247.060617165334,41244.201197328235,44007.24309525022,29419.030914709474,31634.806281323854,33454.29922982031
8,41582.6654267383,44926.00587533232,48266.93521826713,31916.42064285072,34368.66586070291,36624.914764221394
9,35588.86211266401,38325.50776768734,41329.547408396174,27207.769945063472,29218.04618769922,31280.867052713045
10,39056.43065266847,42149.182858955945,45725.70468385973,28928.285612570453,31178.40410876163,33593.183449536635
11,54531.25558375995,59126.89603814484,64585.193664539314,38966.91880340666,42169.530256380385,45741.688886951306
12,62222.918814529614,67641.25618625901,74245.47779327503,44213.69663290608,47960.705838777154,52337.89527713552
13,69022.55337463741,74698.83415164243,82194.5125066113,47463.69188206187,51329.196853432746,56170.82691218583
14,50163.27282548095,53504.14818226894,58891.79983472476,36528.88863478501,38994.5559025537,42706.275389035305
15,30881.91834963282,32615.16459516455,35847.18605031526,25336.74717449455,26759.28488799074,29342.954497261482
16,29088.054334821554,30965.09001142619,33984.877489657134,27065.116310563753,28660.174261807646,31491.044789220257
17,38294.83631078372,40993.2250490406,45197.816171613056,34538.923777387696,36856.8570722256,40598.12232564888
