,Obs,Sim
0,0.0,0.7420843445110492
1,0.0,0.04195911997112489
2,0.0,0.047921574906567344
3,0.0,0.2508132580241522
4,0.783992772078598,0.27825794411728566
5,0.0,0.0742957338981114
6,0.0,0.05646896671530044
7,0.7839927720786974,0.13235124995460978
8,15.837513869831703,0.8998059104052132
9,16.2246562135151,11.792594844959574
10,9.271541525469395,4.583758377207452
11,0.0,0.3860821479244194
12,0.0,0.07951638316901466
13,0.0,1.409259323707726
14,0.0,0.1551691206028032
15,0.0,0.18888794596795577
16,0.0,0.8634034897871992
17,0.0,1.003785092131917
18,0.0,0.2396237100487184
19,0.0,0.1630929187688963
20,0.0,0.30892160568701144
21,4.117538367619606,1.779629464785529
22,21.621667257419126,14.86736324832597
23,0.0,4.53035806123956
24,0.0,0.3831269097789143
25,0.0,0.062488166622200136
26,0.0,0.76719853183846
27,0.0,0.054741978783273026
28,0.0,0.09510971502035304
29,0.1884681977209972,0.2695706869764898
30,0.0,0.6827822433999913
31,0.0,0.1495704932050934
32,1.0927068526533006,0.09302945156802878
33,0.0,0.1552052662479717
34,0.0,0.5390710966662837
35,3.8528287334065965,4.769998320631263
36,2.0916743912605043,1.6792611122567003
37,0.0,0.11653915131837067
38,0.0,0.04516291060126498
39,0.0,1.3877765477290538
40,0.3389146271219019,0.09667310679723329
41,0.3389146271218024,0.17502346184695483
42,0.3389146271217953,0.6380277747250176
43,0.0,1.8276852892382038
44,5.669402610180001,0.5383722398605642
45,0.0,0.3258517260566265
46,0.0,0.4745238210007017
47,3.1750649777107967,1.52484581192752
48,11.217385366576607,11.250840416610018
49,0.0,4.144559994499879
50,0.0,0.49602241668894465
51,0.0,0.1117004465498539
52,0.0,1.2415929455284243
53,0.0,0.05571438688086516
54,0.0,0.06221535663954114
55,0.0,0.27017564826228124
56,0.0,0.29525510717157033
57,0.0,0.08147792189201652
58,0.0,0.07281955828045739
59,0.0,0.15727302705919755
60,2.464440449031912,0.8430735058879648
61,10.022435822280794,7.032208228057456
62,0.0,3.0491970765040293
63,0.0,0.337865244495795
64,0.0,0.09243497006794854
65,0.0,0.8621249608443833
66,0.0,0.1666168137856765
67,0.0,0.19622384181116814
68,0.0,0.730474181988189
69,0.0,0.8244957198968379
70,0.0,0.2213482914684093
71,0.0,0.17559694577258256
72,0.0,0.3089591447060229
73,0.0,1.3638338551598608
74,8.365648764961994,7.049274543981749
75,0.0,2.105567102710163
76,0.0,0.2247364799763858
77,0.0,0.052457768987348885
78,0.0,1.2389961847907642
79,0.0,0.06656388209214015
80,0.0,0.10527892750435797
81,0.0,0.2640507910835055
82,0.0,0.5818879053686601
83,0.0,0.14722472345710003
84,1.3784043233307983,0.10260006088900298
85,0.0,0.16499830928243853
86,1.3784043233308125,0.47749254812558206
87,7.497510811852287,2.908432985780138
88,1.3784043233308054,1.1819627695558523
89,0.0,0.11394470336576035
90,0.0,0.05193124075678668
91,0.0,1.0651700130216142
92,2.0550487724417934,0.11780599315524398
93,0.0,0.19686130623270515
94,0.0,0.6196765086128266
95,2.055048772441694,1.5118157063615172
96,2.055048772441708,0.5053738406800505
97,2.0550487724417934,0.33989711420613844
98,20.358032156632405,0.4780495683774717
99,0.0,1.292711125135341
100,7.567054293102196,6.753656773789139
101,2.055048772441708,2.7377257587464143
102,0.0,0.41030288872769916
103,0.0,0.12383653257677452
