,Index,One,Two,Three,Four,Five,Six,Seven
1,2003-05-31,0.04127048351203722,0.031593597773138485,0.0006747638326585695,0.036797554667293675,0.04353630497663725,0.07302103077895117,0.0642700116384327
11,2003-06-06,0.062310337851507185,0.04565066109951287,0.0012531328320802004,0.061956266165059955,0.0638581917970778,0.09901615669284232,0.09996120522436312
21,2003-06-13,0.09336435363139793,0.09255393180236604,0.044148833622517834,0.09569715494944744,0.12059630645998665,0.13132954237747088,0.14043708780550887
31,2003-06-20,0.11551689257535909,0.15337508698677801,0.11172161172161173,0.15024688455208088,0.17347771267522064,0.2098564852423504,0.17599896547264968
41,2003-06-26,0.12532874772405422,0.19345859429366735,0.13755542702911125,0.18081354338114272,0.18452866572721205,0.2355808285946385,0.1811716022242338
51,2003-07-03,0.1472789803762897,0.2510786360473208,0.197513013302487,0.21808135433811426,0.2224282429726322,0.27881577759725606,0.20082762188025347
61,2003-07-11,0.229921100546227,0.32025052192066805,0.2793522267206478,0.3415236303785563,0.3250018541867537,0.3267442910009929,0.2935471356523988
71,2003-07-19,0.376390855755614,0.3798190675017397,0.4041835357624831,0.5549024218198918,0.4932878439516428,0.46728044047296685,0.48105521789732314
81,2003-07-26,0.4453773012340684,0.44676409185803756,0.46684017736649314,0.6333176581236774,0.5799154490840317,0.5764960736528567,0.6196818828397775
91,2003-08-02,0.50677726077281,0.5504523312456506,0.5308463466358203,0.6952739242887374,0.6372469035081213,0.6496073652856756,0.7118841329367646
101,2003-08-12,0.5341897633016387,,0.5697898592635434,0.7433576299083,0.662463843358303,0.6818304901164365,0.7438251648777965
111,2003-09-03,0.6533481691280599,0.8114126652748782,0.7952573742047426,0.9112391253233012,0.822220574056219,0.842946114270241,0.8947368421052632
121,2003-09-17,0.7500505765729314,0.8421711899791232,0.8574320416425679,0.9641429579120621,0.8883037899577245,0.8733640220236484,0.9142635458424933
131,2003-09-25,0.8200485535100142,0.9031315240083507,0.916907653749759,0.9797789795438514,0.9437068901579767,0.9096488852784548,0.9425837320574163
141,2003-10-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
